"Ключевая ставка. % годовых","Инфляция. % г/г","дата"
7.5,11.98,"01.11.2022"
7.5,12.63,"01.10.2022"
7.5,13.68,"01.09.2022"
8.0,14.3,"01.08.2022"
8.0,15.1,"01.07.2022"
9.5,15.9,"01.06.2022"
11.0,17.1,"01.05.2022"
17.0,17.83,"01.04.2022"
20.0,16.69,"01.03.2022"
20.0,9.15,"01.02.2022"
8.5,8.73,"01.01.2022"
8.5,8.39,"01.12.2021"
7.5,8.4,"01.11.2021"
7.5,8.13,"01.10.2021"
6.75,7.4,"01.09.2021"
6.5,6.68,"01.08.2021"
6.5,6.5,"01.07.2021"
5.5,6.5,"01.06.2021"
5.0,6.0,"01.05.2021"
5.0,5.5,"01.04.2021"
4.5,5.8,"01.03.2021"
4.25,5.7,"01.02.2021"
4.25,5.2,"01.01.2021"
4.25,4.9,"01.12.2020"
4.25,4.4,"01.11.2020"
4.25,4.0,"01.10.2020"
4.25,3.7,"01.09.2020"
4.25,3.6,"01.08.2020"
4.25,3.4,"01.07.2020"
4.5,3.2,"01.06.2020"
5.5,3.0,"01.05.2020"
5.5,3.1,"01.04.2020"
6.0,2.5,"01.03.2020"
6.0,2.3,"01.02.2020"
6.25,2.4,"01.01.2020"
6.25,3.0,"01.12.2019"
6.5,3.5,"01.11.2019"
6.5,3.8,"01.10.2019"
7.0,4.0,"01.09.2019"
7.25,4.3,"01.08.2019"
7.25,4.6,"01.07.2019"
7.5,4.7,"01.06.2019"
7.75,5.1,"01.05.2019"
7.75,5.2,"01.04.2019"
7.75,5.3,"01.03.2019"
7.75,5.2,"01.02.2019"
7.75,5.0,"01.01.2019"
7.75,4.3,"01.12.2018"
7.5,3.8,"01.11.2018"
7.5,3.5,"01.10.2018"
7.5,3.4,"01.09.2018"
7.25,3.1,"01.08.2018"
7.25,2.5,"01.07.2018"
7.25,2.3,"01.06.2018"
7.25,2.4,"01.05.2018"
7.25,2.4,"01.04.2018"
7.25,2.4,"01.03.2018"
7.5,2.2,"01.02.2018"
7.75,2.2,"01.01.2018"
7.75,2.5,"01.12.2017"
8.25,2.5,"01.11.2017"
8.25,2.7,"01.10.2017"
8.5,3.0,"01.09.2017"
9.0,3.3,"01.08.2017"
9.0,3.9,"01.07.2017"
9.0,4.4,"01.06.2017"
9.25,4.1,"01.05.2017"
9.75,4.1,"01.04.2017"
9.75,4.3,"01.03.2017"
10.0,4.6,"01.02.2017"
10.0,5.0,"01.01.2017"
10.0,5.4,"01.12.2016"
10.0,5.8,"01.11.2016"
10.0,6.1,"01.10.2016"
10.0,6.4,"01.09.2016"
10.5,6.9,"01.08.2016"
10.5,7.2,"01.07.2016"
10.5,7.5,"01.06.2016"
11.0,7.3,"01.05.2016"
11.0,7.3,"01.04.2016"
11.0,7.3,"01.03.2016"
11.0,8.1,"01.02.2016"
11.0,9.8,"01.01.2016"
11.0,12.9,"01.12.2015"
11.0,15.0,"01.11.2015"
11.0,15.6,"01.10.2015"
11.0,15.7,"01.09.2015"
11.0,15.8,"01.08.2015"
11.5,15.6,"01.07.2015"
11.5,15.3,"01.06.2015"
12.5,15.8,"01.05.2015"
14.0,16.4,"01.04.2015"
14.0,16.9,"01.03.2015"
15.0,16.7,"01.02.2015"
17.0,14.96,"01.01.2015"
17.0,11.35,"01.12.2014"
9.5,9.06,"01.11.2014"
8.0,8.29,"01.10.2014"
8.0,8.03,"01.09.2014"
8.0,7.55,"01.08.2014"
8.0,7.45,"01.07.2014"
7.5,7.81,"01.06.2014"
7.5,7.59,"01.05.2014"
7.5,7.33,"01.04.2014"
7.0,6.92,"01.03.2014"
5.5,6.21,"01.02.2014"
5.5,6.07,"01.01.2014"
5.5,6.47,"01.12.2013"
